,U_val,U_err,n_val,n_err,nh_val,nh_err,ns_val,ns_err,nd_val,nd_err,dx,dy,c_dd_val,c_dd_err,c_dh_val,c_dh_err,c_ds_val,c_ds_err,c_hh_val,c_hh_err,c_nd_val,c_nd_err,c_nh_val,c_nh_err,c_nn_val,c_nn_err,c_ns_val,c_ns_err,c_sh_val,c_sh_err,c_ss_val,c_ss_err
29,7.1,0.407,0.4162059669839646,0.012586493615905435,0.5912851666729978,0.011738391446125292,0.40122369967003996,0.011077513967705553,0.007491133656962313,0.0016660536850599617,2.0,2.0,-4.6679798734085936e-05,0.00010006042312124441,-7.816265284298261e-05,0.0003033296764089432,0.00012484245157706826,0.0002742598929868746,-4.212681661687756e-05,0.001989700115250371,3.148285410889642e-05,0.0003589198696505137,-3.603583622610133e-05,0.0020432591716896486,6.75186903349954e-05,0.0021409166587922374,4.552982117210039e-06,0.0020059757952562425,0.00012028946945985552,0.001981646497168731,-0.0002451319210369248,0.001995079889661312
30,7.1,0.407,0.519754752549672,0.013440598821759008,0.49314970092464017,0.011933843011876465,0.49394584560104765,0.010751739822545467,0.012904453474312174,0.0023891826881751337,0.0,0.0,0.011470799385076176,0.002075269099536481,-0.005539904963477422,0.0011111064149650226,-0.0059308944215987515,0.0011554809194286328,0.21968310037955435,0.00697757379503663,0.0170107043485536,0.0031220926390117124,-0.2252230053430318,0.007270373606953898,0.24223370969158536,0.008983074864374838,0.20821230099447818,0.006672027850928255,-0.21414319541607696,0.0068544769805161275,0.22007408983767576,0.007219558575121835
31,7.1,0.407,0.519754752549672,0.013440598821759008,0.49314970092464017,0.011933843011876465,0.49394584560104765,0.010751739822545467,0.012904453474312174,0.0023891826881751337,1.0,0.0,-0.00013912981185509367,0.00011571811244093512,0.001157623213033028,0.00040035601435541544,-0.001018493401177935,0.0003499141645079439,-0.02540021103383486,0.002235464587373469,-0.001296753024888122,0.0004742481597556288,0.026557834246867872,0.0023317932334735907,-0.027854587271756028,0.0025104576275592713,-0.025261081221979783,0.002240969545004772,0.02424258782080183,0.0022086000171125802,-0.023224094419623906,0.0022313142796537917
32,7.1,0.407,0.519754752549672,0.013440598821759008,0.49314970092464017,0.011933843011876465,0.49394584560104765,0.010751739822545467,0.012904453474312174,0.0023891826881751337,1.0,1.0,-0.00016932036200629458,7.890181804369768e-05,0.0006377544428654014,0.0004954492319520433,-0.0004684340808591071,0.0004961644964546922,-0.004404961436238733,0.0035998811421799927,-0.0008070748048716964,0.0005071603978257789,0.005042715879104143,0.003574252231135134,-0.005849790683975828,0.0036393004784164695,-0.004235641074232426,0.0035805688639646096,0.0037672069933733575,0.0036924178185513195,-0.003298772912514202,0.0038652016401479125
33,7.1,0.407,0.519754752549672,0.013440598821759008,0.49314970092464017,0.011933843011876465,0.49394584560104765,0.010751739822545467,0.012904453474312174,0.0023891826881751337,2.0,0.0,4.625156150818792e-05,0.00014370902076743666,0.0007579055333736482,0.0004421425324470484,-0.0008041570948818367,0.000427499200373962,-0.001455182913999344,0.0028382577352543746,-0.0007116539718654606,0.0004995288149615326,0.0022130884473730147,0.003046734049710845,-0.0029247424192384614,0.0033815536357521617,-0.0015014344755075275,0.0027621241503270086,0.0006972773806257178,0.0026869695963654713,0.00010687971425612601,0.0026787669802365455
34,7.1,0.407,0.519754752549672,0.013440598821759008,0.49314970092464017,0.011933843011876465,0.49394584560104765,0.010751739822545467,0.012904453474312174,0.0023891826881751337,2.0,1.0,8.296562426907782e-06,0.00014106156767422091,-0.00019235853334187525,0.00024184458170149734,0.00018406197091496525,0.0002327481022363286,0.0007050839556123539,0.0019039938574212905,0.00020065509576878076,0.0003203164935677672,-0.0008974424889542614,0.0019111695959699445,0.0010980975847230364,0.0019217537159836107,0.0006967873931854588,0.0019537672369875805,-0.0005127254222704991,0.0019273799825235438,0.0003286634513555181,0.0019289178665583397
35,7.1,0.407,0.519754752549672,0.013440598821759008,0.49314970092464017,0.011933843011876465,0.49394584560104765,0.010751739822545467,0.012904453474312174,0.0023891826881751337,2.0,2.0,0.00026170899078472025,0.00016850546560087052,-0.0001661372890210603,0.0004916271240801667,-9.557170176366015e-05,0.0004943976393550231,0.0011341099275807823,0.0026626992808226123,0.00042784627980578017,0.0005438323421217099,-0.0013002472166018437,0.002998190805586905,0.0017280934964076344,0.0033976599807893186,0.0008724009367960806,0.0026506056102389283,-0.0009679726385597137,0.0023820540026924433,0.0010635443403234043,0.0021935155559183917
36,7.1,0.407,0.6165865557742015,0.011817559658607053,0.40178757422716793,0.010175289299038735,0.5798382957714626,0.00956716437304485,0.018374130001369438,0.0034721985677183278,0.0,0.0,0.016172266449706638,0.002969218154104277,-0.0056919096297664016,0.0011459510554237729,-0.010480356819940223,0.001949931951332715,0.21082078350707134,0.00615015655402081,0.021864176079473035,0.004056684104210031,-0.21651269313683777,0.00630477338604062,0.23837686921631077,0.008385705661249349,0.1946485170573648,0.006487961721854027,-0.20512887387730497,0.0062068584220569215,0.21560923069724522,0.006523879587203514
37,7.1,0.407,0.6165865557742015,0.011817559658607053,0.40178757422716793,0.010175289299038735,0.5798382957714626,0.00956716437304485,0.018374130001369438,0.0034721985677183278,1.0,0.0,-6.383754511466087e-05,0.00015659598698934468,0.002128746410598583,0.0005467601161299912,-0.0020649088654839222,0.0005502019608837197,-0.02102233960178356,0.0026285189545168586,-0.002192583955713244,0.0005866989498056113,0.023151086012382124,0.0026416660605347027,-0.025343669968095384,0.0027963384853312906,-0.020958502056668896,0.0026126081875441354,0.018893593191184967,0.002727217897841881,-0.016828684325701053,0.0029419649519523508
38,7.1,0.407,0.6165865557742015,0.011817559658607053,0.40178757422716793,0.010175289299038735,0.5798382957714626,0.00956716437304485,0.018374130001369438,0.0034721985677183278,1.0,1.0,-0.0003488959403746184,0.00017453821788487495,0.0008619862802375904,0.000796165042820749,-0.000513090339862975,0.0007523733892029353,-0.0023648626252799915,0.0032575854949136594,-0.0012108822206122114,0.0008732806038402982,0.0032268489055176375,0.0034214464563035,-0.004437731126129818,0.0038397280146599314,-0.0020159666849053942,0.0031928542882860944,0.0015028763450424597,0.003284081029878944,-0.0009897860051794548,0.00353669186514127
